NETWORK_UNAVAILABLE | Нет подключения к интернету, запрос не отправляется.
NETWORK_UNAVAILABLE | При отключённом Wi-Fi приложение не может получить ответ.
OPENAI_RATE_LIMIT | Появилась ошибка 429 после нескольких запросов.
OPENAI_RATE_LIMIT | Приложение сообщает, что лимит запросов превышен.
OPENAI_TIMEOUT | Ответ загружается очень долго, а потом появляется timeout.
OPENAI_TIMEOUT | Через минуту ожидания запрос был отменён.
EMPTY_AI_RESPONSE | Ответ пришёл, но окно сообщения осталось пустым.
EMPTY_AI_RESPONSE | Модель вернула пустую строку.
LOCAL_HISTORY_UNAVAILABLE | После запуска не открывается история переписки.
LOCAL_HISTORY_UNAVAILABLE | Сохранённые диалоги пропали из списка.
LOCAL_HISTORY_UNAVAILABLE | Не удалось прочитать локальную историю чата.
NETWORK_UNAVAILABLE | В авиарежиме появляется ошибка соединения.
